year,mine_NDVI,mine_EVI,ref_NDVI,ref_EVI,rehab_index,ndvi_velocity,ecosystem_divergence
1995.0,0.1499082688714284,0.1905570425795203,0.2004560874058742,0.2556834045909554,0.4501857555950365,0.0,0.05054781853444579
1996.0,0.1448022182266325,0.1823700920187033,0.1845908006241544,0.2327278049015023,0.47695388625863844,0.0,0.03978858239752189
1997.0,0.1457515239164598,0.1835926859154405,0.1940497217550419,0.2464083032612365,0.4353056757135482,0.0,0.04829819783858211
1998.0,0.1512855156835755,0.207412029857822,0.1895174064139204,0.2534390075856089,0.5279867451801556,0.0004590822707156994,0.038231890730344886
1999.0,0.1417549142747607,0.1839509214956532,0.1988162395822778,0.2585648299279193,0.3680659318383314,-0.0010157679839572682,0.05706132530751709
2000.0,0.1297506718408291,0.1620101071550511,0.1541676417265424,0.190853620280378,0.46510001035730436,-0.005333617358543559,0.02441696988571329
2001.0,0.1316212534880012,0.1640713865610325,0.1997133186378687,0.2478559043982519,0.25332249292682296,-0.006554754065191441,0.06809206514986751
2002.0,0.1316208083500748,0.1648504154023449,0.1544022123624568,0.191476405590437,0.5034816457520924,-0.0033780353082286294,0.02278140401238199
2003.0,0.126492178523794,0.160930171232446,0.1810777137329018,0.228037953095715,0.2476958467827172,-0.0010861644390117071,0.054585535209107805
2004.0,0.1347490676047647,0.17526342280769,0.1970346657265536,0.252661210632349,0.2963252355383869,0.0010426047055878407,0.06228559812178888
2005.0,0.1301178315935231,0.1702422377799576,0.1828950683984422,0.2395962277293769,0.2903915807138291,-0.0005009922521838998,0.05277723680491908
2006.0,0.1294413663565205,0.1671486320760107,0.1709814756809123,0.215823828184654,0.3349492517499918,0.0009830626109088396,0.04154010932439178
2007.0,0.1201800901325327,0.1556034509080025,0.1795080242567992,0.2284983779275346,0.164255356798562,-0.004856325824077338,0.05932793412426651
2008.0,0.1190246387972309,0.1528955045253543,0.1795224465118453,0.2270439552255022,0.14794861107167426,-0.0036977309320974047,0.060497807714614396
2009.0,0.1109134545554519,0.1442652038673114,0.1426437289197388,0.1790314970365979,0.07014285910187538,-0.0061759706003562025,0.03173027436428691
2010.0,0.1085199125089303,0.1486840958174293,0.1464900405907221,0.2026650334667775,0.0,-0.003886725874534133,0.0379701280817918
2011.0,0.1240876507271715,0.1575855874459132,0.1898278819289534,0.2375149853042621,0.19146632647804696,0.0016876706433135342,0.06574023120178189
2012.0,0.1115945866940435,0.1431347734881703,0.1818068181718088,0.2282301501339809,0.04195393648159708,0.00022704404619719917,0.0702122314777653
2013.0,0.119991414294973,0.166572473565931,0.1930810439413934,0.2422969447265758,0.13565927503234398,0.0038238339286808995,0.07308962964642039
2014.0,0.1203149397629186,0.1589814137649896,0.1919154625598044,0.2391757725900543,0.14143473179076024,-0.0012575703214176327,0.07160052279688581
2015.0,0.1187234287112547,0.1493568156528053,0.1607423743791541,0.1981020784295219,0.19538558384476018,0.0023762806724037335,0.04201894566789939
2016.0,0.1170906145548428,0.1473010227680965,0.1805324683820339,0.2236984517027068,0.11901677342233635,-0.000966933246710063,0.0634418538271911
2017.0,0.1388316987136638,0.1783627779115584,0.1943068667483036,0.244889190021613,0.3533379460023004,0.006172252983581733,0.05547516803463981
2018.0,0.1364248290196785,0.188244898412168,0.1744353188671815,0.2427814504170593,0.4233443750476873,0.005900466769474602,0.03801048984750299
2019.0,0.1265928023339482,0.1619441764801065,0.20350110741906,0.2550094997539427,0.1902786108567944,0.0031673959263684667,0.07690830508511179
2020.0,0.1326063842831873,0.1886603126548736,0.2199421927893236,0.2947849408047583,0.21617284903561107,-0.0020751048101588323,0.08733580850613629
2021.0,0.1419016306105868,0.1829984726328328,0.2141751204753035,0.2754665050824362,0.31594957545567354,0.001825600530302766,0.07227348986471668
2022.0,0.1481812578992845,0.1955202176712375,0.2093346111126403,0.2752908316386204,0.3934083614757209,0.0071961518551120944,0.0611533532133558
2023.0,0.14804296050792,0.1953758853768196,0.2031966840453654,0.2635706161550692,0.41745242637239477,0.005145525408244238,0.05515372353744538
